year,round,circuitId,driverId,constructorId,grid,Top 3 Finish,Driver Top 3 Finish Percentage (Last Year),Constructor Top 3 Finish Percentage (Last Year),Driver Top 3 Finish Percentage (This Year till last race),Constructor Top 3 Finish Percentage (This Year till last race),Driver Avg position (Last Year),Constructor Avg position (Last Year),Driver Average Position (This Year till last race),Constructor Average Position (This Year till last race)
1983,2,43,187,1,22,1,33.33333333333333,27.38095238095238,0.0,50.0,8.333333333333334,8.845238095238095,19.0,10.5
1983,2,43,182,1,23,1,21.428571428571427,27.38095238095238,100.0,50.0,9.357142857142858,8.845238095238095,2.0,10.5
1983,2,43,163,6,2,1,25.0,31.25,0.0,0.0,14.0625,11.59375,9.0,6.5
1983,2,43,172,3,4,0,6.666666666666667,23.333333333333332,100.0,50.0,16.466666666666665,11.233333333333333,3.0,9.0
1983,2,43,176,21,16,0,0.0,0.0,0.0,0.0,10.166666666666666,5.083333333333333,5.0,2.5
1983,2,43,196,27,26,0,0.0,0.0,0.0,0.0,20.866666666666667,20.433333333333334,20.0,21.0
1983,2,43,105,25,7,0,12.5,6.25,0.0,0.0,9.0,4.5,26.0,18.0
1983,2,43,119,34,11,0,20.0,16.666666666666668,0.0,50.0,14.666666666666666,14.366666666666667,23.0,12.0
1983,2,43,117,4,8,0,25.0,22.5,0.0,0.0,10.0,11.9,6.0,12.0
1983,2,43,95,32,13,0,7.6923076923076925,7.17948717948718,0.0,0.0,13.692307692307692,12.146153846153846,11.0,13.5
1983,2,43,158,4,15,0,20.0,22.5,0.0,0.0,13.8,11.9,18.0,12.0
1983,2,43,137,34,20,0,13.333333333333334,16.666666666666668,100.0,50.0,14.066666666666666,14.366666666666667,1.0,12.0
1983,2,43,110,51,19,0,6.25,3.125,0.0,0.0,14.4375,15.685416666666667,27.0,24.0
1983,2,43,173,32,5,0,6.666666666666667,7.17948717948718,0.0,0.0,10.6,12.146153846153846,16.0,13.5
1983,2,43,195,55,18,0,0.0,0.0,0.0,0.0,22.533333333333335,11.266666666666667,17.0,14.5
1983,2,43,197,27,10,0,0.0,0.0,0.0,0.0,20.0,20.433333333333334,22.0,21.0
1983,2,43,152,53,14,0,0.0,0.0,0.0,0.0,15.25,17.982142857142858,25.0,16.0
1983,2,43,184,51,21,0,0.0,3.125,0.0,0.0,16.933333333333334,15.685416666666667,21.0,24.0
1983,2,43,175,6,1,0,37.5,31.25,0.0,0.0,9.125,11.59375,4.0,6.5
1983,2,43,177,3,3,0,40.0,23.333333333333332,0.0,50.0,6.0,11.233333333333333,15.0,9.0
1983,2,43,194,50,25,0,0.0,0.0,0.0,0.0,18.5625,9.28125,13.0,6.5
1983,2,43,118,53,6,0,0.0,0.0,0.0,0.0,20.714285714285715,17.982142857142858,7.0,16.0
1983,2,43,181,54,24,0,0.0,0.0,0.0,0.0,18.0625,9.03125,14.0,7.0
1983,3,34,117,4,1,1,25.0,22.5,0.0,0.0,10.0,11.9,8.5,12.0
1983,3,34,137,34,6,1,13.333333333333334,16.666666666666668,50.0,25.0,14.066666666666666,14.366666666666667,8.0,12.25
1983,3,34,158,4,2,1,20.0,22.5,0.0,0.0,13.8,11.9,15.5,12.0
1983,3,34,175,6,11,0,37.5,31.25,0.0,25.0,9.125,11.59375,13.0,9.5
1983,3,34,177,3,16,0,40.0,23.333333333333332,0.0,25.0,6.0,11.233333333333333,19.0,11.25
1983,3,34,172,3,19,0,6.666666666666667,23.333333333333332,50.0,25.0,16.466666666666665,11.233333333333333,3.5,11.25
1983,3,34,163,6,4,0,25.0,31.25,50.0,25.0,14.0625,11.59375,6.0,9.5
1983,3,34,105,25,15,0,12.5,6.25,0.0,0.0,9.0,4.5,17.5,13.25
1983,3,34,197,27,20,0,0.0,0.0,0.0,0.0,20.0,20.433333333333334,20.5,17.0
